iter,cam,starttime,endtime,http_code,satus,bytes,secs,ftyp,ts
1,2,260731195800,260731200000,200,0,14219394,3.061301,1,05:02:20
2,1,260731195900,260731200100,200,0,20601010,6.148480,1,05:03:35
3,2,260731200000,260731200200,200,0,14185610,2.933704,1,05:04:44
4,1,260731200100,260731200300,200,0,20594518,6.358119,1,05:05:59
5,2,260731200300,260731200500,200,0,14220402,2.950248,1,05:07:08
6,1,260731200400,260731200600,200,0,20598186,6.306111,1,05:08:23
7,2,260731200500,260731200700,200,0,13967282,2.936397,1,05:09:31
8,1,260731200600,260731200800,200,0,20910786,6.205264,1,05:10:47
9,2,260731200700,260731200900,200,0,13791290,2.882011,1,05:11:55
10,1,260731200900,260731201100,200,0,21602122,6.293119,1,05:13:12
11,2,260731201000,260731201200,200,0,13854750,2.866554,1,05:14:20
12,1,260731201100,260731201300,200,0,21602834,6.308540,1,05:15:35
13,2,260731201200,260731201400,200,0,13749350,3.068195,1,05:16:44
14,1,260731201300,260731201500,200,0,21607454,6.295342,1,05:17:59
15,2,260731201500,260731201700,200,0,13872994,2.862608,1,05:19:08
16,1,260731201600,260731201800,200,0,21603178,6.288704,1,05:20:23
17,2,260731201700,260731201900,200,0,13748458,2.945136,1,05:21:32
18,1,260731201800,260731202000,200,0,21612394,6.518099,1,05:22:48
19,2,260731201900,260731202100,200,0,13763438,3.046012,1,05:23:56
20,1,260731202100,260731202300,200,0,21604458,6.453898,1,05:25:11
21,2,260731202200,260731202400,200,0,13549738,2.858059,1,05:26:20
22,1,260731202300,260731202500,200,0,21604030,6.278304,1,05:27:35
23,2,260731202400,260731202600,200,0,13534842,2.885630,1,05:28:44
24,1,260731202500,260731202700,200,0,21608850,6.320517,1,05:29:59
25,2,260731202700,260731202900,200,0,13644938,3.030401,1,05:31:08
26,1,260731202800,260731203000,200,0,21609774,6.419169,1,05:32:23
27,2,260731202900,260731203100,200,0,13852862,2.920412,1,05:33:32
28,1,260731203000,260731203200,200,0,21593298,6.532564,1,05:34:48
29,2,260731203100,260731203300,200,0,13872502,2.855149,1,05:35:55
30,1,260731203300,260731203500,200,0,21598186,6.454802,1,05:37:12
31,2,260731203400,260731203600,200,0,13763678,2.896360,1,05:38:20
32,1,260731203500,260731203700,200,0,21606066,6.510131,1,05:39:35
33,2,260731203600,260731203800,200,0,13891018,2.953681,1,05:40:44
34,1,260731203700,260731203900,200,0,21597410,6.292288,1,05:41:59
35,2,260731203900,260731204100,200,0,13897018,2.910053,1,05:43:08
36,1,260731204000,260731204200,200,0,21591114,6.299857,1,05:44:23
37,2,260731204100,260731204300,200,0,13816406,2.873468,1,05:45:32
38,1,260731204200,260731204400,200,0,21612946,6.371987,1,05:46:47
39,2,260731204300,260731204500,200,0,13911234,2.877897,1,05:47:56
40,1,260731204500,260731204700,200,0,21606074,6.327883,1,05:49:13
41,2,260731204600,260731204800,200,0,13896298,2.884629,1,05:50:21
42,1,260731204700,260731204900,200,0,21606758,6.488982,1,05:51:36
43,2,260731204800,260731205000,200,0,13804658,3.016791,1,05:52:45
44,1,260731204900,260731205100,200,0,21652438,6.388825,1,05:54:00
45,2,260731205100,260731205300,200,0,13921286,2.994842,1,05:55:09
46,1,260731205200,260731205400,200,0,21429810,6.267492,1,05:56:25
47,2,260731205300,260731205500,200,0,13814666,2.871519,1,05:57:33
48,1,260731205400,260731205600,200,0,21435350,6.278978,1,05:58:48
49,2,260731205500,260731205700,200,0,13948726,2.854214,1,05:59:57
50,1,260731205700,260731205900,200,0,21611250,6.390429,1,06:01:12
DONE 06:01:12
